,all,new_cnpq_level_1a,new_cnpq_level_2a,new_cnpq_level_3a,predicted_new_cnpq_level_1a,predicted_new_cnpq_level_2a,predicted_new_cnpq_level_3a
0,"Efficient and selective method to separate triterpene acids by direct treatment of apple peels with alkaline ethanol Triterpene acid extraction from dried apple peels of Fuji and Gala varieties in 2%NaOH/ethanol at room temperature, followed by filtration and acidification (pH 3), was investigated, comparing to a classical exhaustive extraction (Soxhlet, 2 h, with ethanol and methanol, >97% recovery). Alkali-ethanol process yielded 4.35–6.86% (w/w) of whitish extracts, up to 15 times less than Soxhlet but with same recovery (P > 0.05) of ursolic and oleanolic acids. Alkaline extraction of previously defatted peels led to same recovery (P > 0.05), but the yield increased slightly (P < 0.01). The cost-effective and environmental-friendly procedure prepares triterpene-rich extracts from apple peels at high recovery, directly eliminating the cutin and avoiding prior treatments with hazardous organic solvents. © 2016 Taylor & Francis. Apple peels; cutin depolymerization; extraction; triterpenes; ursolic acid Separation Science and Technology (Philadelphia)",Ciências da Saúde,Farmácia,Farmacognosia,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos
1,"Lutzomyia Iongipalpis Saliva Induces Heme Oxygenase-1 Expression at Bite Sites Sand flies bite mammalian hosts to obtain a blood meal, driving changes in the host inflammatory response that support the establishment of Leishmania infection. This effect is partially attributed to components of sand fly saliva, which are able to recruit and activate leukocytes. Our group has shown that heme oxygenase-1 (HO-1) favors Leishmania survival in infected cells by reducing inflammatory responses. Here, we show that exposure to sand fly bites is associated with induction of HO-1 in vivo. Histopathological analyses of skin specimens from human volunteers experimentally exposed to sand fly bites revealed that HO-1 and Nrf2 are produced at bite sites in the skin. These results were recapitulated in mice ears injected with a salivary gland sonicate (SGS) or exposed to sand fly bites, indicating that vector saliva may be a key factor in triggering HO-1 expression. Resident skin macrophages were the main source HO-1 at 24-48 h after bites. Additionally, assays in vivo after bites and in vitro after stimulation with saliva both demonstrated that HO-1 production by macrophages was Nrf2-dependent. Collectively, our data demonstrates that vector saliva induces early HO-1 production at the bite sites, representing a major event associated with establishment of naturally-transmitted Leishmania infections. Lutzomyia longipalpis,sand fly bite,saliva,skin,macrophages,heme oxygenase-1,Nrf2 FRONTIERS IN IMMUNOLOGY",Ciências Biológicas,Imunologia,Imunologia Celular,Ciências Biológicas,Imunologia,Imunogenética
2,"Medical Error in the Eye of the Judiciary: an investigation in the Court of Justice of the Federal District and Territories Objective: The field of medicine professional activity can increase the rates of death of the patient or the compromise of his physical integrity or his health, by negligent conduct. These actions generate liability actions that led to compensate for the damage caused to the patient or criminal liability claims that bring criminal consequences. Methods: In this article was conducted a judicial research collecting data from appeal trials available on the site TJDFT 2013-2015, using the terms medical error in the relevant field for research resulting in a total of 204 cases. Results: This analysis 97% of cases were judged by ordinary courts and 3% by special courts; 1% dealt with material damages, 46% moral damage and 53% related to moral and material damages; The specialties with the lowest participation in medical negligence claims were endocrinology, dermatology, physiotherapy, pulmonology, proctology and pharmacy errors, while the highest number of cases were gynecology and obstetrics, general and plastic surgery; finding actions where the defendant was the private sector in 51%, the public sector 44% and individual 5% of the cases analyzed; the sentences were rejected by 57%, reaching 22% partially admissible in 19% and dissolved in 2% of the cases analyzed. Conclusion: The legal influence on the practice of medicine comes to shape the attitudes and practices of health services motivated by the legal repercussions and also the economic consequences for management as a reflection of a society in which the assertions of rights and the idea of ​​having been the subject of a compensable injury is understood as the responsibility of a good professional and a good health service. The doctor should not be considered the only one responsible for causing the damage and it is necessary that all parties are involved in the changes that deserve to be made and that are suggested by the World Health Organization. Humans, Judiciary Decisions, Medical Errors/legislação &amp; jurisprudence, Medical Errors/statistics &amp; numerical dice, Direito à Saúde, Judiciary Power Ibero-American Cadernos de Direito Sanitário",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Medicina,Cirurgia
3,"Prevalence of obesity, high blood pressure, dyslipidemia and their associated factors in children and adolescents in a municipality in the Brazilian Amazon region Introduction: The incidence of chronic noncommunicable disease (CND) are rocketting over the world, including in young adults. The WHO estimates that more than half of the deaths in the world, even in underdeveloped countries, are caused by CND. Objectives: The study aimed to estimate the prevalence of obesity, high blood pressure (HBP) and dyslipidemia and its associated factors. Methods: The authors carried out a cross-sectional study of 1,431 schools in the public-school system of Monte, Brazilian Western Amazon, with children and adolescents aged 6 to 15 years. A random sampling of 496 individuals was carried out. The OpenEpi platform was used to calculate the sample size, considering p<0.05 and a presumed prevalence of CND of 50%. The authors applied a clinical-epidemiological questionnaire, made anthropometric measurements and laboratory tests. Diagnostic parameters recommended by the recent guidelines of the Ministry of Health in Brazil were used. Results: Prevalence of CND was: Obesity 11.8%, HBP of 6.7% and dyslipidemia of 25.4%. After multivariate log-binomial analysis of the dependent variables, the statistically significant risk factors were overweight 18.4%, sedentary lifestyle 32.2%, family history of cardiovascular disease 23.4%, family history of HBP 84.2%, family dyslipidemia 55.8%, family obesity 38.7% and family chronic renal disease 40.6%. Conclusion: The findings pointed out to a context with a relatively high prevalence of CND, as well as their associated factors. Intervention measures such as health education, food education, stimulation of physical exercise, better school feeding and an improvement of the public health system are needed to mitigate the occurrence of CND. © The authors (2020), this article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated. Brazilian Amazon, Chronic Noncommunicable Disease, Students Journal of Human Growth and Development",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Saúde Coletiva,Epidemiologia
4,"Cynomolgus macaques naturally infected with Trypanosoma cruzi-I exhibit an overall mixed pro-inflammatory/modulated cytokine signature characteristic of human Chagas disease Background: Non-human primates have been shown to be useful models for Chagas disease. We previously reported that natural T. cruzi infection of cynomolgus macaques triggers clinical features and immunophenotypic changes of peripheral blood leukocytes resembling those observed in human Chagas disease. In the present study, we further characterize the cytokine-mediated microenvironment to provide supportive evidence of the utility of cynomolgus macaques as a model for drug development for human Chagas disease. Methods and findings: In this cross-sectional study design, flow cytometry and systems biology approaches were used to characterize the ex vivo and in vitro T. cruzi-specific functional cytokine signature of circulating leukocytes from TcI-T. cruzi naturally infected cynomolgus macaques (CH). Results showed that CH presented an overall CD4+-derived IFN-γ pattern regulated by IL-10-derived from CD4+T-cells and B-cells, contrasting with the baseline profile observed in non-infected hosts (NI). Homologous TcI-T. cruzi-antigen recall in vitro induced a broad pro-inflammatory cytokine response in CH, mediated by TNF from innate/adaptive cells, counterbalanced by monocyte/B-cell-derived IL-10. TcIV-antigen triggered a more selective cytokine signature mediated by NK and T-cell-derived IFN-γ with modest regulation by IL-10 from T-cells. While NI presented a cytokine network comprised of small number of neighborhood connections, CH displayed a complex cross-talk amongst network elements. Noteworthy, was the ability of TcI-antigen to drive a complex global pro-inflammatory network mediated by TNF and IFN-γ from NK-cells, CD4+and CD8+T-cells, regulated by IL-10+CD8+T-cells, in contrast to the TcIV-antigens that trigger a modest network, with moderate connecting edges. Conclusions: Altogether, our findings demonstrated that CH present a pro-inflammatory/regulatory cytokine signature similar to that observed in human Chagas disease. These data bring additional insights that further validate these non-human primates as experimental models for Chagas disease. © 2017 Vitelli-Avelar et al.; Background: Non-human primates have been shown to be useful models for Chagas disease. We previously reported that natural T. cruzi infection of cynomolgus macaques triggers clinical features and immunophenotypic changes of peripheral blood leukocytes resembling those observed in human Chagas disease. In the present study, we further characterize the cytokine-mediated microenvironment to provide supportive evidence of the utility of cynomolgus macaques as a model for drug development for human Chagas disease.Methods and findings: In this cross-sectional study design, flow cytometry and systems biology approaches were used to characterize the ex vivo and in vitro T. cruzi-specific functional cytokine signature of circulating leukocytes from TcI-T. cruzi naturally infected cynomolgus macaques (CH). Results showed that CH presented an overall CD4+-derived IFN-? pattern regulated by IL-10-derived from CD4+ T-cells and B-cells, contrasting with the baseline profile observed in non-infected hosts (NI). Homologous TcI-T. cruzi-antigen recall in vitro induced a broad pro-inflammatory cytokine response in CH, mediated by TNF from innate/adaptive cells, counterbalanced by monocyte/B-cell-derived IL-10. TcIV-antigen triggered a more selective cytokine signature mediated by NK and T-cell-derived IFN-? with modest regulation by IL-10 from T-cells. While NI presented a cytokine network comprised of small number of neighborhood connections, CH displayed a complex cross-talk amongst network elements. Noteworthy, was the ability of TcI-antigen to drive a complex global pro-inflammatory network mediated by TNF and IFN-? from NK-cells, CD4+ and CD8+ T-cells, regulated by IL-10+CD8+ T-cells, in contrast to the TcIV-antigens that trigger a modest network, with moderate connecting edges.Conclusions:Altogether, our findings demonstrated that CH present a pro-inflammatory/regulatory cytokine signature similar to that observed in human Chagas disease. These data bring additional insights that further validate these non-human primates as experimental models for Chagas disease. ADAPTIVE IMMUNITYCLONAL GENOTYPESINDETERMINATEBENZNIDAZOLEPROFILEINNATECHEMOTHERAPYASSOCIATIONEXPRESSIONLEUKOCYTES PLOS NEGLECTED TROPICAL DISEASES",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
5,"Do climate changes alter the distribution and transmission of malaria? Evidence assessment and recommendations for future studies Malaria, a mosquito-borne infectious disease, is considered a significant global health burden. Climate changes or different weather conditions may impact infectious diseases, specifically those transmitted by insect vectors and contaminated water. Based on the current predictions for climate change associated with the increase in carbon dioxide concentrations in the atmosphere and the increase in atmospheric temperature, the Intergovernmental Panel on Climate Change predicts that in 2050, malaria may threaten some previously unexposed areas worldwide and cause a 50% higher probability of malaria cases. Climate-based distribution models of malaria depict an increase in the geographic distribution of the disease as global environmental temperatures and conditions worsen. Researchers have studied the influence of changes in climate on the prevalence of malaria using different mathematical models that consider different variables and predict the conditions for malaria distribution. In this context, we conducted a mini-review to elucidate the important aspects described in the literature on the influence of climate change in the distribution and transmission of malaria. It is important to develop possible risk management strategies and enhance the surveillance system enhanced even in currently malaria-free areas predicted to experience malaria in the future. ANOPHELES-GAMBIAE DIPTERAPLASMODIUM-FALCIPARUMTEMPERATUREIMPACTRESURGENCECULICIDAEHIGHLANDSEPIDEMICDISEASESAMERICA REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências da Saúde,Saúde Coletiva,Epidemiologia
6,"Free-living amoebae and their relationship to air quality in hospital environments: characterization of Acanthamoeba spp. obtained from air-conditioning systems Free-living amoebae (FLA) are widely dispersed in the environment, can cause opportunistic and non-opportunistic infections in humans and other animals. The aim of the present study was characterize FLA obtained from air-conditioners of a public hospital in the city of Florianopolis, SC, Brazil. Fifty-four dust samples were collected of air conditioners, and were inoculated on 1.5% non-nutrient agar, overlaid with layers of Escherichia coli. Subsequently the isolates were axenised in PYG growth medium. The morphological and molecular characterization of the isolates was performed, as well as the tolerance (physiological) assays were used to evaluate the pathogenic potential. The results revealed the presence of FLA in 42 (77.8%) of the collected samples. Of these, 39 (92.9%) axenic isolates of FLA were obtained for morphological and genotypic studies. All the isolates characterized belong to the genus Acanthamoeba. Nineteen (48.7%) isolates belong to the genotype T4, 16 (41.0%) to the T5 genotype and 4 (10.3%) to genotype T11. Seven (18.0%) isolates were considered potentially pathogenic in tolerance assays. These findings require attention, considering the isolation environment and immunocompromised characteristics of many hospitalized patients. ACANTHAMOEBAAIR-CONDITIONERSFREE-LIVING AMOEBAEHOSPITAL; Acanthamoeba,air-conditioners,free-living amoebae,hospital PARASITOLOGY",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
7,"Biannual and Quarterly Comparison Analysis of Agglutinating Antibody Kinetics on a Subcohort of Individuals Exposed to Leptospira interrogans in Salvador, Brazil. IntroductionLeptospirosis is a zoonosis with a worldwide spread that leads to clinical manifestations ranging from asymptomatic infection to a life-threatening disease. The immune response is predominantly humoral mediated limited to the infecting serovar. Individuals living in an area endemic for leptospirosis are often exposed to an environment contaminated with leptospires and there is a paucity of information on naturally acquired immunity. In the present study, we evaluated the kinetics of agglutinating antibodies in individuals from an endemic area for leptospirosis in Salvador, Brazil comparing two different intersample collection times. MethodsBetween 2017-2018, we carried out a biannual prospective cohort with 2,086 individuals living in an endemic area for leptospirosis in Salvador, Brazil. To compare agglutinating antibody kinetics using microscopic agglutination test (MAT) with different collection times, a subcohort of 72 individuals with quarterly follow-up was carried out in parallel. ResultsThe results revealed that using a shorter time for intersample collection led to the detection of a higher number of infections and reinfection events. Furthermore, we observed a higher rate of titer decay indicating partial and short protection. However, there was no indication of major changes in risk factors for the disease. ConclusionsWe evaluated antibody kinetics among residents of an endemic area for leptospirosis comparing two sample collection times. The constant exposure to the contaminated environment increases the risk for leptospirosis infection with reinfection events being more common than expected. This indicates that the burden of leptospirosis might be underestimated by serological surveys, and further studies are necessary to better characterize the humoral response after infection. Leptospira,leptospirosis,human,serosurvey,MAT,antibody kinetics Frontiers in Medicine",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Medicina,Clínica Médica
8,"Excess deaths from respiratory causes in eight Brazilian metropolises during the first six months of the COVID-19 pandemic In Brazil, one of the countries most heavily affected by the COVID-19 pandemic, mortality data fail to reflect the real number of deaths from the disease. The study aimed to estimate excess deaths from respiratory causes and their trends during the first six month of the COVID-19 epidemic in adults 20 years or older in eight regional metropolises in Brazil. In this ecological study, deaths from respiratory causes (influenza, pneumonias, bronchitis, other chronic obstructive pulmonary diseases, acute or chronic respiratory failure, respiratory failure or respiratory disorder not otherwise specified, and other deaths coded with respiratory symptoms) were extracted from the Mortality Information System. Expected deaths were estimated with quasi- Poisson generalized additive models. From February 23 to August 8, 2020, 46,028 deaths from respiratory causes were recorded in the eight cities, with an excess of 312% (95%CI: 304- 321). Manaus (Amazonas State), presented the highest excess, with 758% (95%CI: 668-858) and Sao Paulo the lowest, with 174% (95% CI: 164-183). Early excess mortality was detected in Epidemiological Weeks (EW) 9-12 in Belem (Para State), Fortaleza (Ceara State), and Sao Paulo. In general, excess mortality was relatively higher in the 40-59-year age bracket and in men. Excess mortality was regionally heterogeneous, with 2,463% (95%CI: 1,881-3,281) in EW 17-20 in Manaus (North Region) and 808% (95%CI: 612-1,059) in EW 28- 32 in Curitiba (Parana State, South Region). The high and heterogeneous percentage of excess respiratory deaths suggests high underreporting of COVID-19 deaths, which highlights regional inequalities and the need for revision of deaths associated with respiratory symptoms. Mortality,COVID-19,Poverty,Geohraphic Locations Cadernos de Saúde Pública",Ciências da Saúde,Saúde Coletiva,Saúde Pública,Ciências da Saúde,Saúde Coletiva,Epidemiologia
9,"Leishmania braziliensis Subverts Necroptosis by Modulating RIPK3 Expression Leishmania braziliensis infection causes skin ulcers, typically found in localized cutaneous leishmaniasis (LCL). This tissue pathology associates with different modalities of cell necrosis, which are subverted by the parasite as a survival strategy. Herein we examined the participation of necroptosis, a specific form of programmed necrosis, in LCL lesions and found reduced RIPK3 and PGAM5 gene expression compared to normal skin. Assays using infected macrophages demonstrated that the parasite deactivates both RIPK3 and MLKL expression and that these molecules are important to control the intracellular L. braziliensis replication. Thus,LCL-related necroptosis may be targeted to control infection and disease immunopathology. RIPK3,MLKL,macrophage,necroptosis,Leishmania braziliensis Frontiers In Microbiology",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos
